Date,Open,High,Low,Close
03-Jul-17,9953.58,9988.63,9906.84,9980.37
04-Jul-17,10014.18,10022.04,9961.38,9976.28
05-Jul-17,9996.3,10007.02,9973.48,9999.03
06-Jul-17,10016.83,10063.04,10004.7,10033.78
07-Jul-17,10033.74,10048.45,10007.37,10027
10-Jul-17,10074.86,10152.68,10064.67,10137.35
11-Jul-17,10160.76,10191.57,10140.38,10148.84
12-Jul-17,10172.46,10189.81,10153.25,10180.01
13-Jul-17,10211.13,10266.5,10209.25,10254.5
14-Jul-17,10276.08,10281.19,10211.05,10251.52
17-Jul-17,10260.99,10295.86,10260.99,10282.27
18-Jul-17,10202.94,10249.91,10163.89,10184.6
19-Jul-17,10235.21,10271.21,10215.67,10263.81
20-Jul-17,10286.14,10292.2,10231.59,10240.19
21-Jul-17,10277.02,10290.56,10210.89,10283.01
24-Jul-17,10306.48,10361.62,10293.04,10337.98
25-Jul-17,10374.32,10381.28,10324.66,10336.7
26-Jul-17,10353.13,10406.79,10340.74,10398.76
27-Jul-17,10442.79,10500.61,10390.3,10406.15
28-Jul-17,10408.94,10408.94,10327.53,10391.95
31-Jul-17,10417.75,10458.56,10400.54,10449.51
01-Aug-17,10476.28,10498.86,10444.54,10483.3
02-Aug-17,10503.59,10514.94,10427.55,10452.33
03-Aug-17,10461.28,10461.28,10376.17,10393.11
04-Aug-17,10379.39,10464,10370.4,10454.53
07-Aug-17,10473.27,10479.52,10435.13,10447.86
08-Aug-17,10467.92,10471.25,10329.47,10360.01
09-Aug-17,10333.85,10348.76,10261.72,10282.51
10-Aug-17,10269.9,10271.86,10143.5,10187.28
11-Aug-17,10125.66,10146.2,10063.84,10090.55
14-Aug-17,10120.76,10197.9,10120.6,10172.17
16-Aug-17,10213.22,10282.89,10155.25,10272.87
17-Aug-17,10319.91,10325.93,10264.25,10282.26
18-Aug-17,10266.77,10266.77,10161.71,10215.63
21-Aug-17,10245.17,10264.05,10118.4,10131.19
22-Aug-17,10173.43,10207.93,10127.71,10142.12
23-Aug-17,10180.15,10238.73,10165.88,10232.04
24-Aug-17,10262.75,10268.8,10230.37,10238.59
28-Aug-17,10284.02,10314.39,10272.12,10303.64
29-Aug-17,10300.47,10304.82,10171.96,10182.06
30-Aug-17,10227.48,10299.39,10227.08,10275.44
31-Aug-17,10291.36,10312.07,10249.79,10304.43
01-Sep-17,10316.29,10375.87,10302.08,10363.1
04-Sep-17,10375.71,10375.71,10247.75,10295.83
05-Sep-17,10312.53,10356.38,10294.45,10341.27
06-Sep-17,10314.02,10327,10273.51,10305.77
07-Sep-17,10335.41,10363.5,10312.42,10328.99
08-Sep-17,10346.56,10364.94,10310.2,10327.36
11-Sep-17,10362.29,10427.43,10361.53,10404.67
12-Sep-17,10455.96,10492.11,10423.63,10486.58
13-Sep-17,10498.52,10533.86,10456.57,10472.93
14-Sep-17,10518.53,10523.86,10468.43,10484.73
15-Sep-17,10467.48,10514.13,10441.21,10486.23
18-Sep-17,10515.33,10570.55,10515.3,10551.99
19-Sep-17,10585.14,10585.88,10535.06,10551.47
20-Sep-17,10572.58,10579.76,10537.31,10542.2
21-Sep-17,10544.3,10562.01,10460.29,10520.62
22-Sep-17,10507.69,10508.4,10351.8,10361.97
25-Sep-17,10380.5,10388.43,10215.6,10261.82
26-Sep-17,10279.08,10281.97,10204.4,10256.23
27-Sep-17,10310.55,10313.95,10100.65,10119.7
28-Sep-17,10135.05,10170.71,10075.7,10152.73
29-Sep-17,10188.52,10240.33,10158.76,10169.24
03-Oct-17,10246.37,10270.22,10225.83,10251.79
04-Oct-17,10267.92,10335.04,10243.64,10308.96
